,ClosestCountries5,ClosestCountries10,ClosestCountries30
nan_Afghanistan,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait|nan_Azerbaijan|nan_India|nan_Nepal|nan_Armenia|nan_Iraq|Xinjiang_China|nan_Georgia|Tibet_China|nan_Saudi Arabia|nan_Syria|nan_Bhutan|nan_Yemen|nan_Bangladesh|nan_Jordan|nan_Lebanon|nan_Turkey|nan_West Bank and Gaza|nan_Israel|Qinghai_China|nan_Cyprus
St Martin_France,Sint Maarten_Netherlands|Anguilla_United Kingdom|Saint Barthelemy_France|nan_Saint Kitts and Nevis|British Virgin Islands_United Kingdom,Sint Maarten_Netherlands|Anguilla_United Kingdom|Saint Barthelemy_France|nan_Saint Kitts and Nevis|British Virgin Islands_United Kingdom|Montserrat_United Kingdom|nan_Antigua and Barbuda|Virgin Islands_US|Guadeloupe_France|nan_Dominica,"Sint Maarten_Netherlands|Anguilla_United Kingdom|Saint Barthelemy_France|nan_Saint Kitts and Nevis|British Virgin Islands_United Kingdom|Montserrat_United Kingdom|nan_Antigua and Barbuda|Virgin Islands_US|Guadeloupe_France|nan_Dominica|Puerto Rico_US|Martinique_France|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Barbados|nan_Belize|nan_Grenada|nan_Dominican Republic|nan_Trinidad and Tobago|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|Aruba_Netherlands|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Venezuela|nan_Jamaica|nan_Guyana|Bermuda_United Kingdom|nan_Bahamas|nan_Suriname"
Martinique_France,nan_Saint Lucia|nan_Dominica|nan_Saint Vincent and the Grenadines|Guadeloupe_France|nan_Barbados,nan_Saint Lucia|nan_Dominica|nan_Saint Vincent and the Grenadines|Guadeloupe_France|nan_Barbados|nan_Belize|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Grenada|nan_Saint Kitts and Nevis,"nan_Saint Lucia|nan_Dominica|nan_Saint Vincent and the Grenadines|Guadeloupe_France|nan_Barbados|nan_Belize|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Grenada|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France|nan_Trinidad and Tobago|Anguilla_United Kingdom|British Virgin Islands_United Kingdom|Virgin Islands_US|Puerto Rico_US|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|Aruba_Netherlands|nan_Dominican Republic|nan_Venezuela|nan_Guyana|nan_Haiti|nan_Suriname|Turks and Caicos Islands_United Kingdom|French Guiana_France|nan_Jamaica|nan_Colombia"
nan_France,nan_Andorra|nan_Switzerland|Channel Islands_United Kingdom|nan_Luxembourg|nan_Monaco,nan_Andorra|nan_Switzerland|Channel Islands_United Kingdom|nan_Luxembourg|nan_Monaco|nan_Belgium|nan_Liechtenstein|nan_Netherlands|nan_Germany|nan_San Marino,nan_Andorra|nan_Switzerland|Channel Islands_United Kingdom|nan_Luxembourg|nan_Monaco|nan_Belgium|nan_Liechtenstein|nan_Netherlands|nan_Germany|nan_San Marino|nan_Italy|nan_Spain|nan_Holy See|nan_Austria|nan_Slovenia|Isle of Man_United Kingdom|nan_Croatia|nan_Ireland|nan_Czechia|nan_United Kingdom|nan_Portugal|nan_Denmark|nan_Bosnia and Herzegovina|Gibraltar_United Kingdom|nan_Hungary|nan_Slovakia|nan_Poland|nan_Montenegro|nan_Tunisia|nan_Serbia
nan_Gabon,nan_Equatorial Guinea|nan_Cameroon|nan_Sao Tome and Principe|nan_Nigeria|nan_Congo (Brazzaville),nan_Equatorial Guinea|nan_Cameroon|nan_Sao Tome and Principe|nan_Nigeria|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|Iowa_US|Kansas_US|Kentucky_US|Louisiana_US,nan_Equatorial Guinea|nan_Cameroon|nan_Sao Tome and Principe|nan_Nigeria|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|Iowa_US|Kansas_US|Kentucky_US|Louisiana_US|Massachusetts_US|Maryland_US|nan_Diamond Princess|Michigan_US|Minnesota_US|Mississippi_US|Maine_US|Indiana_US|Hawaii_US|Idaho_US|Georgia_US|Florida_US|District of Columbia_US|Delaware_US|Connecticut_US|Colorado_US|California_US|Arkansas_US|Arizona_US|Alaska_US
nan_Gambia,nan_Senegal|nan_Guinea-Bissau|nan_Sierra Leone|nan_Guinea|nan_Cabo Verde,nan_Senegal|nan_Guinea-Bissau|nan_Sierra Leone|nan_Guinea|nan_Cabo Verde|nan_Liberia|nan_Western Sahara|nan_Cote d'Ivoire|nan_Mali|nan_Burkina Faso,nan_Senegal|nan_Guinea-Bissau|nan_Sierra Leone|nan_Guinea|nan_Cabo Verde|nan_Liberia|nan_Western Sahara|nan_Cote d'Ivoire|nan_Mali|nan_Burkina Faso|nan_Ghana|US Military_US|Federal Bureau of Prisons_US|Veteran Hospitals_US|nan_Togo|nan_Benin|nan_Morocco|Hawaii_US|Idaho_US|Kansas_US|Indiana_US|Iowa_US|Georgia_US|Kentucky_US|Louisiana_US|Illinois_US|District of Columbia_US|Alaska_US|Connecticut_US|Colorado_US
nan_Georgia,nan_Armenia|nan_Azerbaijan|nan_Turkey|nan_Syria|nan_Iraq,nan_Armenia|nan_Azerbaijan|nan_Turkey|nan_Syria|nan_Iraq|nan_Lebanon|nan_Ukraine|nan_Cyprus|nan_Moldova|nan_West Bank and Gaza,nan_Armenia|nan_Azerbaijan|nan_Turkey|nan_Syria|nan_Iraq|nan_Lebanon|nan_Ukraine|nan_Cyprus|nan_Moldova|nan_West Bank and Gaza|nan_Jordan|nan_Iran|nan_Israel|nan_Bulgaria|nan_Kuwait|nan_Romania|nan_Belarus|nan_Uzbekistan|nan_North Macedonia|nan_Serbia|nan_Kosovo|nan_Greece|nan_Bahrain|nan_Albania|nan_Kazakhstan|nan_Hungary|nan_Slovakia|nan_Montenegro|nan_Lithuania|nan_Qatar
nan_Germany,nan_Luxembourg|nan_Netherlands|nan_Belgium|nan_Liechtenstein|nan_Switzerland,nan_Luxembourg|nan_Netherlands|nan_Belgium|nan_Liechtenstein|nan_Switzerland|nan_Czechia|nan_Austria|nan_Denmark|nan_Slovenia|nan_Poland,nan_Luxembourg|nan_Netherlands|nan_Belgium|nan_Liechtenstein|nan_Switzerland|nan_Czechia|nan_Austria|nan_Denmark|nan_Slovenia|nan_Poland|nan_France|nan_Croatia|nan_Slovakia|nan_Monaco|nan_San Marino|Channel Islands_United Kingdom|nan_Hungary|nan_Italy|nan_United Kingdom|Isle of Man_United Kingdom|nan_Bosnia and Herzegovina|nan_Holy See|nan_Norway|nan_Lithuania|nan_Andorra|nan_Ireland|nan_Serbia|nan_Latvia|nan_Montenegro|nan_Kosovo
nan_Ghana,nan_Togo|nan_Benin|nan_Burkina Faso|nan_Cote d'Ivoire|Veteran Hospitals_US,nan_Togo|nan_Benin|nan_Burkina Faso|nan_Cote d'Ivoire|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|Illinois_US|Indiana_US|Iowa_US,nan_Togo|nan_Benin|nan_Burkina Faso|nan_Cote d'Ivoire|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|Illinois_US|Indiana_US|Iowa_US|Kansas_US|Maryland_US|Louisiana_US|Maine_US|Idaho_US|Massachusetts_US|Michigan_US|Kentucky_US|Hawaii_US|Delaware_US|District of Columbia_US|Minnesota_US|Connecticut_US|Colorado_US|California_US|Arkansas_US|Arizona_US|Alaska_US|Alabama_US|nan_MS Zaandam
nan_Greece,nan_Albania|nan_North Macedonia|nan_Kosovo|nan_Montenegro|nan_Bulgaria,nan_Albania|nan_North Macedonia|nan_Kosovo|nan_Montenegro|nan_Bulgaria|nan_Serbia|nan_Bosnia and Herzegovina|nan_Malta|nan_Romania|nan_Holy See,nan_Albania|nan_North Macedonia|nan_Kosovo|nan_Montenegro|nan_Bulgaria|nan_Serbia|nan_Bosnia and Herzegovina|nan_Malta|nan_Romania|nan_Holy See|nan_Croatia|nan_Hungary|nan_Italy|nan_San Marino|nan_Slovenia|nan_Moldova|nan_Slovakia|nan_Austria|nan_Cyprus|nan_Turkey|nan_Ukraine|nan_Tunisia|nan_Czechia|nan_Monaco|nan_Liechtenstein|nan_Lebanon|nan_Switzerland|nan_Poland|nan_West Bank and Gaza|nan_Libya
nan_Guatemala,nan_El Salvador|nan_Honduras|nan_Nicaragua|nan_Costa Rica|Cayman Islands_United Kingdom,nan_El Salvador|nan_Honduras|nan_Nicaragua|nan_Costa Rica|Cayman Islands_United Kingdom|nan_Cuba|nan_Panama|nan_Jamaica|nan_Mexico|nan_Bahamas,"nan_El Salvador|nan_Honduras|nan_Nicaragua|nan_Costa Rica|Cayman Islands_United Kingdom|nan_Cuba|nan_Panama|nan_Jamaica|nan_Mexico|nan_Bahamas|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Colombia|nan_Dominican Republic|Aruba_Netherlands|Curacao_Netherlands|nan_Ecuador|Bonaire, Sint Eustatius and Saba_Netherlands|nan_US|Puerto Rico_US|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_Venezuela|Anguilla_United Kingdom|Sint Maarten_Netherlands|St Martin_France|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda"
nan_Guinea,nan_Sierra Leone|nan_Liberia|nan_Cote d'Ivoire|nan_Guinea-Bissau|nan_Senegal,nan_Sierra Leone|nan_Liberia|nan_Cote d'Ivoire|nan_Guinea-Bissau|nan_Senegal|nan_Gambia|nan_Burkina Faso|nan_Ghana|nan_Mali|Federal Bureau of Prisons_US,nan_Sierra Leone|nan_Liberia|nan_Cote d'Ivoire|nan_Guinea-Bissau|nan_Senegal|nan_Gambia|nan_Burkina Faso|nan_Ghana|nan_Mali|Federal Bureau of Prisons_US|US Military_US|Veteran Hospitals_US|nan_Togo|nan_Benin|Illinois_US|Hawaii_US|Idaho_US|Georgia_US|Kentucky_US|Iowa_US|Kansas_US|Louisiana_US|Maine_US|Indiana_US|District of Columbia_US|Arizona_US|Connecticut_US|Colorado_US|California_US|Arkansas_US
nan_Guyana,nan_Suriname|French Guiana_France|nan_Trinidad and Tobago|nan_Grenada|nan_Venezuela,nan_Suriname|French Guiana_France|nan_Trinidad and Tobago|nan_Grenada|nan_Venezuela|nan_Belize|nan_Barbados|nan_Saint Vincent and the Grenadines|nan_Saint Lucia|Martinique_France,"nan_Suriname|French Guiana_France|nan_Trinidad and Tobago|nan_Grenada|nan_Venezuela|nan_Belize|nan_Barbados|nan_Saint Vincent and the Grenadines|nan_Saint Lucia|Martinique_France|nan_Dominica|Guadeloupe_France|Bonaire, Sint Eustatius and Saba_Netherlands|Montserrat_United Kingdom|nan_Antigua and Barbuda|Curacao_Netherlands|nan_Saint Kitts and Nevis|Aruba_Netherlands|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|British Virgin Islands_United Kingdom|Virgin Islands_US|Puerto Rico_US|nan_Colombia|nan_Dominican Republic|nan_Haiti|nan_Brazil|nan_Ecuador"
nan_Haiti,nan_Dominican Republic|Turks and Caicos Islands_United Kingdom|nan_Jamaica|Puerto Rico_US|Aruba_Netherlands,"nan_Dominican Republic|Turks and Caicos Islands_United Kingdom|nan_Jamaica|Puerto Rico_US|Aruba_Netherlands|Virgin Islands_US|British Virgin Islands_United Kingdom|Curacao_Netherlands|nan_Bahamas|Bonaire, Sint Eustatius and Saba_Netherlands","nan_Dominican Republic|Turks and Caicos Islands_United Kingdom|nan_Jamaica|Puerto Rico_US|Aruba_Netherlands|Virgin Islands_US|British Virgin Islands_United Kingdom|Curacao_Netherlands|nan_Bahamas|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Cuba|Cayman Islands_United Kingdom|Anguilla_United Kingdom|Sint Maarten_Netherlands|St Martin_France|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|Guadeloupe_France|nan_Dominica|Martinique_France|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Grenada|nan_Panama|nan_Trinidad and Tobago|nan_Belize|nan_Barbados|nan_Venezuela"
nan_Holy See,nan_Italy|nan_San Marino|nan_Croatia|nan_Monaco|nan_Bosnia and Herzegovina,nan_Italy|nan_San Marino|nan_Croatia|nan_Monaco|nan_Bosnia and Herzegovina|nan_Slovenia|nan_Montenegro|nan_Liechtenstein|nan_Switzerland|nan_Austria,nan_Italy|nan_San Marino|nan_Croatia|nan_Monaco|nan_Bosnia and Herzegovina|nan_Slovenia|nan_Montenegro|nan_Liechtenstein|nan_Switzerland|nan_Austria|nan_Albania|nan_Malta|nan_Kosovo|nan_Serbia|nan_North Macedonia|nan_Hungary|nan_Greece|nan_Andorra|nan_Czechia|nan_Tunisia|nan_Slovakia|nan_France|nan_Luxembourg|nan_Germany|nan_Bulgaria|nan_Romania|nan_Belgium|nan_Poland|nan_Netherlands|nan_Spain
nan_Honduras,nan_Nicaragua|nan_El Salvador|nan_Guatemala|nan_Costa Rica|Cayman Islands_United Kingdom,nan_Nicaragua|nan_El Salvador|nan_Guatemala|nan_Costa Rica|Cayman Islands_United Kingdom|nan_Panama|nan_Cuba|nan_Jamaica|nan_Bahamas|nan_Haiti,"nan_Nicaragua|nan_El Salvador|nan_Guatemala|nan_Costa Rica|Cayman Islands_United Kingdom|nan_Panama|nan_Cuba|nan_Jamaica|nan_Bahamas|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Dominican Republic|nan_Colombia|Aruba_Netherlands|Curacao_Netherlands|nan_Mexico|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Ecuador|Puerto Rico_US|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_Venezuela|Anguilla_United Kingdom|Sint Maarten_Netherlands|St Martin_France|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_US|nan_Antigua and Barbuda"
nan_Hungary,nan_Slovakia|nan_Slovenia|nan_Serbia|nan_Austria|nan_Bosnia and Herzegovina,nan_Slovakia|nan_Slovenia|nan_Serbia|nan_Austria|nan_Bosnia and Herzegovina|nan_Croatia|nan_Czechia|nan_Romania|nan_Montenegro|nan_Kosovo,nan_Slovakia|nan_Slovenia|nan_Serbia|nan_Austria|nan_Bosnia and Herzegovina|nan_Croatia|nan_Czechia|nan_Romania|nan_Montenegro|nan_Kosovo|nan_Poland|nan_North Macedonia|nan_San Marino|nan_Albania|nan_Moldova|nan_Bulgaria|nan_Italy|nan_Liechtenstein|nan_Holy See|nan_Switzerland|nan_Germany|nan_Ukraine|nan_Greece|nan_Lithuania|nan_Belarus|nan_Monaco|nan_Luxembourg|nan_Latvia|nan_Netherlands|nan_Belgium
nan_Iceland,Faroe Islands_Denmark|Greenland_Denmark|nan_United Kingdom|Isle of Man_United Kingdom|nan_Ireland,Faroe Islands_Denmark|Greenland_Denmark|nan_United Kingdom|Isle of Man_United Kingdom|nan_Ireland|nan_Norway|nan_Sweden|nan_Denmark|nan_Netherlands|Channel Islands_United Kingdom,Faroe Islands_Denmark|Greenland_Denmark|nan_United Kingdom|Isle of Man_United Kingdom|nan_Ireland|nan_Norway|nan_Sweden|nan_Denmark|nan_Netherlands|Channel Islands_United Kingdom|nan_Belgium|nan_Finland|nan_Luxembourg|nan_Germany|nan_Estonia|nan_France|nan_Latvia|Newfoundland and Labrador_Canada|nan_Lithuania|nan_Poland|nan_Switzerland|nan_Czechia|nan_Liechtenstein|nan_Austria|nan_Andorra|nan_Belarus|nan_Monaco|nan_Slovakia|nan_Portugal|nan_Slovenia
nan_India,nan_Nepal|nan_Bangladesh|nan_Pakistan|nan_Bhutan|Tibet_China,nan_Nepal|nan_Bangladesh|nan_Pakistan|nan_Bhutan|Tibet_China|nan_Sri Lanka|nan_Afghanistan|nan_Burma|nan_Maldives|nan_Oman,nan_Nepal|nan_Bangladesh|nan_Pakistan|nan_Bhutan|Tibet_China|nan_Sri Lanka|nan_Afghanistan|nan_Burma|nan_Maldives|nan_Oman|nan_Kyrgyzstan|Xinjiang_China|Qinghai_China|Yunnan_China|nan_United Arab Emirates|nan_Thailand|nan_Laos|nan_Uzbekistan|Sichuan_China|nan_Iran|nan_Qatar|nan_Bahrain|Gansu_China|Guizhou_China|nan_Cambodia|Chongqing_China|nan_Kazakhstan|nan_Yemen|nan_Kuwait|Guangxi_China
nan_Indonesia,nan_Malaysia|nan_Brunei|nan_Singapore|nan_Timor-Leste|nan_Cambodia,nan_Malaysia|nan_Brunei|nan_Singapore|nan_Timor-Leste|nan_Cambodia|nan_Philippines|nan_Vietnam|nan_Thailand|Hainan_China|Northern Territory_Australia,nan_Malaysia|nan_Brunei|nan_Singapore|nan_Timor-Leste|nan_Cambodia|nan_Philippines|nan_Vietnam|nan_Thailand|Hainan_China|Northern Territory_Australia|Macau_China|Hong Kong_China|nan_Laos|Guangdong_China|Guangxi_China|nan_Taiwan*|Fujian_China|Guizhou_China|Jiangxi_China|Yunnan_China|Hunan_China|nan_Burma|Zhejiang_China|nan_Papua New Guinea|Western Australia_Australia|Chongqing_China|Hubei_China|Anhui_China|Shanghai_China|Sichuan_China
nan_Iran,nan_Kuwait|nan_Bahrain|nan_Qatar|nan_Iraq|nan_United Arab Emirates,nan_Kuwait|nan_Bahrain|nan_Qatar|nan_Iraq|nan_United Arab Emirates|nan_Azerbaijan|nan_Afghanistan|nan_Armenia|nan_Saudi Arabia|nan_Oman,nan_Kuwait|nan_Bahrain|nan_Qatar|nan_Iraq|nan_United Arab Emirates|nan_Azerbaijan|nan_Afghanistan|nan_Armenia|nan_Saudi Arabia|nan_Oman|nan_Syria|nan_Georgia|nan_Uzbekistan|nan_Jordan|nan_Pakistan|nan_Lebanon|nan_West Bank and Gaza|nan_Israel|nan_Turkey|nan_Cyprus|nan_Yemen|nan_Kazakhstan|nan_Kyrgyzstan|nan_Eritrea|nan_Egypt|nan_Djibouti|nan_Ukraine|nan_Bulgaria|nan_Moldova|nan_India
nan_Iraq,nan_Syria|nan_Kuwait|nan_Jordan|nan_Lebanon|nan_Armenia,nan_Syria|nan_Kuwait|nan_Jordan|nan_Lebanon|nan_Armenia|nan_West Bank and Gaza|nan_Iran|nan_Azerbaijan|nan_Israel|nan_Bahrain,nan_Syria|nan_Kuwait|nan_Jordan|nan_Lebanon|nan_Armenia|nan_West Bank and Gaza|nan_Iran|nan_Azerbaijan|nan_Israel|nan_Bahrain|nan_Saudi Arabia|nan_Cyprus|nan_Turkey|nan_Georgia|nan_Qatar|nan_United Arab Emirates|nan_Egypt|nan_Oman|nan_Bulgaria|nan_Afghanistan|nan_Yemen|nan_Ukraine|nan_Eritrea|nan_Uzbekistan|nan_Moldova|nan_Greece|nan_Romania|nan_North Macedonia|nan_Kosovo|nan_Albania
nan_Ireland,Isle of Man_United Kingdom|nan_United Kingdom|Channel Islands_United Kingdom|nan_Belgium|nan_Netherlands,Isle of Man_United Kingdom|nan_United Kingdom|Channel Islands_United Kingdom|nan_Belgium|nan_Netherlands|Faroe Islands_Denmark|nan_Luxembourg|nan_France|nan_Denmark|nan_Germany,Isle of Man_United Kingdom|nan_United Kingdom|Channel Islands_United Kingdom|nan_Belgium|nan_Netherlands|Faroe Islands_Denmark|nan_Luxembourg|nan_France|nan_Denmark|nan_Germany|nan_Norway|nan_Switzerland|nan_Andorra|nan_Liechtenstein|nan_Iceland|nan_Spain|nan_Monaco|nan_Portugal|nan_Czechia|nan_Austria|nan_Sweden|nan_San Marino|nan_Slovenia|nan_Poland|nan_Italy|nan_Croatia|Gibraltar_United Kingdom|nan_Holy See|nan_Slovakia|nan_Hungary
nan_Israel,nan_West Bank and Gaza|nan_Jordan|nan_Lebanon|nan_Cyprus|nan_Syria,nan_West Bank and Gaza|nan_Jordan|nan_Lebanon|nan_Cyprus|nan_Syria|nan_Egypt|nan_Iraq|nan_Turkey|nan_Kuwait|nan_Saudi Arabia,nan_West Bank and Gaza|nan_Jordan|nan_Lebanon|nan_Cyprus|nan_Syria|nan_Egypt|nan_Iraq|nan_Turkey|nan_Kuwait|nan_Saudi Arabia|nan_Armenia|nan_Georgia|nan_Greece|nan_Azerbaijan|nan_Bulgaria|nan_Bahrain|nan_North Macedonia|nan_Qatar|nan_Iran|nan_Albania|nan_Kosovo|nan_Libya|nan_Eritrea|nan_Romania|nan_Montenegro|nan_Serbia|nan_Moldova|nan_Ukraine|nan_Malta|nan_United Arab Emirates
nan_Italy,nan_San Marino|nan_Holy See|nan_Croatia|nan_Monaco|nan_Slovenia,nan_San Marino|nan_Holy See|nan_Croatia|nan_Monaco|nan_Slovenia|nan_Bosnia and Herzegovina|nan_Liechtenstein|nan_Switzerland|nan_Austria|nan_Montenegro,nan_San Marino|nan_Holy See|nan_Croatia|nan_Monaco|nan_Slovenia|nan_Bosnia and Herzegovina|nan_Liechtenstein|nan_Switzerland|nan_Austria|nan_Montenegro|nan_Albania|nan_Kosovo|nan_Serbia|nan_Hungary|nan_Czechia|nan_Malta|nan_North Macedonia|nan_France|nan_Andorra|nan_Slovakia|nan_Luxembourg|nan_Germany|nan_Greece|nan_Tunisia|nan_Belgium|nan_Romania|nan_Bulgaria|nan_Poland|nan_Netherlands|Channel Islands_United Kingdom
nan_Jamaica,Cayman Islands_United Kingdom|nan_Cuba|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Dominican Republic,Cayman Islands_United Kingdom|nan_Cuba|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Dominican Republic|nan_Bahamas|Aruba_Netherlands|nan_Honduras|nan_Nicaragua|Curacao_Netherlands,"Cayman Islands_United Kingdom|nan_Cuba|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Dominican Republic|nan_Bahamas|Aruba_Netherlands|nan_Honduras|nan_Nicaragua|Curacao_Netherlands|nan_Panama|Puerto Rico_US|nan_Costa Rica|Bonaire, Sint Eustatius and Saba_Netherlands|Virgin Islands_US|nan_El Salvador|British Virgin Islands_United Kingdom|nan_Guatemala|Anguilla_United Kingdom|Sint Maarten_Netherlands|St Martin_France|Saint Barthelemy_France|nan_Colombia|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|Guadeloupe_France|nan_Dominica|nan_Venezuela|Martinique_France"
nan_Japan,"nan_Korea, South|Jilin_China|Liaoning_China|Heilongjiang_China|Shanghai_China","nan_Korea, South|Jilin_China|Liaoning_China|Heilongjiang_China|Shanghai_China|Jiangsu_China|Shandong_China|Zhejiang_China|Tianjin_China|Beijing_China","nan_Korea, South|Jilin_China|Liaoning_China|Heilongjiang_China|Shanghai_China|Jiangsu_China|Shandong_China|Zhejiang_China|Tianjin_China|Beijing_China|Hebei_China|Anhui_China|nan_Taiwan*|Fujian_China|Inner Mongolia_China|Henan_China|Shanxi_China|Jiangxi_China|Northern Mariana Islands_US|Hubei_China|Guam_US|Shaanxi_China|Hunan_China|Guangdong_China|Hong Kong_China|Macau_China|Ningxia_China|Chongqing_China|nan_Philippines|nan_Mongolia"
nan_Jordan,nan_West Bank and Gaza|nan_Israel|nan_Lebanon|nan_Syria|nan_Cyprus,nan_West Bank and Gaza|nan_Israel|nan_Lebanon|nan_Syria|nan_Cyprus|nan_Iraq|nan_Egypt|nan_Turkey|nan_Kuwait|nan_Saudi Arabia,nan_West Bank and Gaza|nan_Israel|nan_Lebanon|nan_Syria|nan_Cyprus|nan_Iraq|nan_Egypt|nan_Turkey|nan_Kuwait|nan_Saudi Arabia|nan_Armenia|nan_Georgia|nan_Azerbaijan|nan_Bahrain|nan_Iran|nan_Qatar|nan_Greece|nan_Bulgaria|nan_North Macedonia|nan_Eritrea|nan_Albania|nan_Kosovo|nan_United Arab Emirates|nan_Romania|nan_Moldova|nan_Ukraine|nan_Libya|nan_Serbia|nan_Montenegro|nan_Malta
nan_Kazakhstan,nan_Uzbekistan|nan_Kyrgyzstan|Xinjiang_China|nan_Afghanistan|nan_Azerbaijan,nan_Uzbekistan|nan_Kyrgyzstan|Xinjiang_China|nan_Afghanistan|nan_Azerbaijan|nan_Georgia|nan_Armenia|nan_Pakistan|nan_Russia|nan_Iran,nan_Uzbekistan|nan_Kyrgyzstan|Xinjiang_China|nan_Afghanistan|nan_Azerbaijan|nan_Georgia|nan_Armenia|nan_Pakistan|nan_Russia|nan_Iran|nan_Iraq|Tibet_China|nan_Kuwait|nan_Ukraine|nan_Nepal|nan_Turkey|nan_Syria|Qinghai_China|nan_Mongolia|nan_Belarus|nan_Bahrain|nan_Moldova|nan_Qatar|nan_United Arab Emirates|nan_Estonia|Gansu_China|nan_Latvia|nan_Lebanon|nan_Finland|nan_Lithuania
nan_Kenya,nan_Uganda|nan_Tanzania|nan_Rwanda|nan_Burundi|nan_Ethiopia,nan_Uganda|nan_Tanzania|nan_Rwanda|nan_Burundi|nan_Ethiopia|nan_South Sudan|nan_Somalia|nan_Djibouti|nan_Malawi|Mayotte_France,nan_Uganda|nan_Tanzania|nan_Rwanda|nan_Burundi|nan_Ethiopia|nan_South Sudan|nan_Somalia|nan_Djibouti|nan_Malawi|Mayotte_France|nan_Sudan|nan_Eritrea|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_Zambia|nan_Seychelles|nan_Central African Republic|nan_Mozambique|nan_Yemen|nan_Madagascar|nan_Zimbabwe|nan_Angola|nan_Chad|nan_Saudi Arabia|nan_Botswana|nan_Gabon|nan_Cameroon|Reunion_France|nan_Egypt|nan_Eswatini
"nan_Korea, South",Liaoning_China|Shanghai_China|Jiangsu_China|Jilin_China|Shandong_China,Liaoning_China|Shanghai_China|Jiangsu_China|Jilin_China|Shandong_China|nan_Japan|Tianjin_China|Zhejiang_China|Anhui_China|Beijing_China,Liaoning_China|Shanghai_China|Jiangsu_China|Jilin_China|Shandong_China|nan_Japan|Tianjin_China|Zhejiang_China|Anhui_China|Beijing_China|Hebei_China|Heilongjiang_China|Henan_China|Shanxi_China|Fujian_China|Jiangxi_China|Inner Mongolia_China|nan_Taiwan*|Hubei_China|Shaanxi_China|Hunan_China|Ningxia_China|Guangdong_China|Chongqing_China|Hong Kong_China|Macau_China|Guizhou_China|Guangxi_China|nan_Mongolia|Gansu_China
nan_Kuwait,nan_Bahrain|nan_Iraq|nan_Qatar|nan_Iran|nan_Saudi Arabia,nan_Bahrain|nan_Iraq|nan_Qatar|nan_Iran|nan_Saudi Arabia|nan_United Arab Emirates|nan_Syria|nan_Jordan|nan_Azerbaijan|nan_Armenia,nan_Bahrain|nan_Iraq|nan_Qatar|nan_Iran|nan_Saudi Arabia|nan_United Arab Emirates|nan_Syria|nan_Jordan|nan_Azerbaijan|nan_Armenia|nan_Lebanon|nan_West Bank and Gaza|nan_Israel|nan_Oman|nan_Georgia|nan_Cyprus|nan_Yemen|nan_Turkey|nan_Afghanistan|nan_Eritrea|nan_Egypt|nan_Uzbekistan|nan_Djibouti|nan_Pakistan|nan_Ethiopia|nan_Bulgaria|nan_Ukraine|nan_Sudan|nan_Moldova|nan_Greece
